time,pco2_in_sea_water,pco2_in_sea_water_qc_agg,z
UTC,microatm,,m
2007-08-03T15:16:00Z,459.0,2,0.0
2007-08-03T18:16:00Z,458.5,2,0.0
2007-08-03T21:16:00Z,455.2,2,0.0
2007-08-04T00:16:00Z,454.0,2,0.0
2007-08-04T03:16:00Z,457.8,2,0.0
2007-08-04T06:16:00Z,476.6,2,0.0
2007-08-04T09:16:00Z,448.4,2,0.0
2007-08-04T12:16:00Z,450.4,2,0.0
2007-08-04T15:16:00Z,448.8,2,0.0
2007-08-04T18:16:00Z,443.6,2,0.0
2007-08-04T21:16:00Z,448.8,2,0.0
2007-08-05T00:16:00Z,441.2,2,0.0
2007-08-05T03:16:00Z,442.7,2,0.0
2007-08-05T06:16:00Z,446.7,2,0.0
2007-08-05T09:16:00Z,452.4,2,0.0
2007-08-05T12:16:00Z,458.7,2,0.0
2007-08-05T15:16:00Z,454.8,2,0.0
2007-08-05T18:16:00Z,462.2,2,0.0
2007-08-05T21:16:00Z,449.6,2,0.0
2007-08-06T00:16:00Z,445.4,2,0.0
2007-08-06T03:16:00Z,438.4,2,0.0
2007-08-06T06:16:00Z,436.4,2,0.0
2007-08-06T09:16:00Z,437.2,2,0.0
2007-08-06T12:16:00Z,442.8,2,0.0
2007-08-06T15:16:00Z,443.9,2,0.0
2007-08-06T18:16:00Z,453.1,2,0.0
2007-08-06T21:16:00Z,455.5,2,0.0
2007-08-07T00:16:00Z,448.0,2,0.0
2007-08-07T03:16:00Z,442.2,2,0.0
2007-08-07T06:16:00Z,432.6,2,0.0
2007-08-07T09:16:00Z,437.8,2,0.0
2007-08-07T12:16:00Z,441.1,2,0.0
2007-08-07T15:16:00Z,448.2,2,0.0
2007-08-07T18:16:00Z,459.9,2,0.0
2007-08-07T21:16:00Z,449.5,2,0.0
2007-08-08T00:16:00Z,452.8,2,0.0
2007-08-08T03:16:00Z,453.2,2,0.0
2007-08-08T06:16:00Z,449.2,2,0.0
2007-08-08T09:16:00Z,459.7,2,0.0
2007-08-08T12:16:00Z,460.7,2,0.0
2007-08-08T15:16:00Z,460.6,2,0.0
2007-08-08T18:16:00Z,468.5,2,0.0
2007-08-08T21:16:00Z,483.8,2,0.0
2007-08-09T00:16:00Z,472.1,2,0.0
2007-08-09T03:16:00Z,466.2,2,0.0
2007-08-09T06:16:00Z,470.9,2,0.0
2007-08-09T09:16:00Z,464.2,2,0.0
2007-08-09T12:16:00Z,459.1,2,0.0
2007-08-09T15:16:00Z,464.7,2,0.0
2007-08-09T18:16:00Z,469.7,2,0.0
2007-08-09T21:16:00Z,459.6,2,0.0
2007-08-10T00:16:00Z,451.5,2,0.0
2007-08-10T03:16:00Z,446.1,2,0.0
2007-08-10T06:16:00Z,452.9,2,0.0
2007-08-10T09:16:00Z,453.0,2,0.0
2007-08-10T12:16:00Z,455.3,2,0.0
2007-08-10T15:16:00Z,469.2,2,0.0
2007-08-10T18:16:00Z,474.7,2,0.0
2007-08-10T21:16:00Z,460.8,2,0.0
2007-08-11T00:16:00Z,457.2,2,0.0
2007-08-11T03:16:00Z,456.6,2,0.0
2007-08-11T06:16:00Z,459.6,2,0.0
2007-08-11T09:16:00Z,455.9,2,0.0
2007-08-11T12:16:00Z,456.9,2,0.0
2007-08-11T15:16:00Z,457.2,2,0.0
2007-08-11T18:16:00Z,462.5,2,0.0
2007-08-11T21:17:00Z,450.7,2,0.0
2007-08-12T00:16:00Z,438.5,2,0.0
2007-08-12T03:16:00Z,447.8,2,0.0
2007-08-12T06:16:00Z,452.7,2,0.0
2007-08-12T09:16:00Z,456.2,2,0.0
2007-08-12T12:16:00Z,455.1,2,0.0
2007-08-12T15:16:00Z,455.7,2,0.0
2007-08-12T18:16:00Z,464.0,2,0.0
2007-08-12T21:16:00Z,453.6,2,0.0
2007-08-13T00:16:00Z,451.1,2,0.0
2007-08-13T03:16:00Z,454.1,2,0.0
2007-08-13T06:16:00Z,464.0,2,0.0
2007-08-13T09:16:00Z,468.1,2,0.0
2007-08-13T12:16:00Z,469.3,2,0.0
2007-08-13T15:16:00Z,471.7,2,0.0
2007-08-13T18:16:00Z,495.4,2,0.0
2007-08-13T21:16:00Z,514.3,2,0.0
2007-08-14T00:16:00Z,483.2,2,0.0
2007-08-14T03:16:00Z,469.5,2,0.0
2007-08-14T06:16:00Z,479.5,2,0.0
2007-08-14T09:16:00Z,483.7,2,0.0
2007-08-14T12:16:00Z,475.8,2,0.0
2007-08-14T15:16:00Z,479.8,2,0.0
2007-08-14T18:16:00Z,506.9,2,0.0
2007-08-14T21:16:00Z,512.9,2,0.0
2007-08-15T00:16:00Z,469.0,2,0.0
2007-08-15T03:16:00Z,472.0,2,0.0
2007-08-15T06:16:00Z,473.9,2,0.0
2007-08-15T09:16:00Z,475.0,2,0.0
2007-08-15T12:16:00Z,480.6,2,0.0
2007-08-15T15:16:00Z,487.2,2,0.0
2007-08-15T18:16:00Z,482.8,2,0.0
2007-08-15T21:16:00Z,473.7,2,0.0
2007-08-16T00:16:00Z,466.8,2,0.0
2007-08-16T03:16:00Z,468.0,2,0.0
2007-08-16T06:16:00Z,470.2,2,0.0
2007-08-16T09:16:00Z,469.3,2,0.0
2007-08-16T12:16:00Z,474.2,2,0.0
2007-08-16T15:16:00Z,472.8,2,0.0
2007-08-16T18:16:00Z,464.9,2,0.0
2007-08-16T21:16:00Z,459.3,2,0.0
2007-08-17T00:16:00Z,452.8,2,0.0
2007-08-17T03:16:00Z,454.0,2,0.0
2007-08-17T06:16:00Z,459.6,2,0.0
2007-08-17T09:16:00Z,463.2,2,0.0
2007-08-17T12:16:00Z,463.0,2,0.0
2007-08-17T15:16:00Z,460.4,2,0.0
2007-08-17T18:16:00Z,461.1,2,0.0
2007-08-17T21:16:00Z,457.9,2,0.0
2007-08-18T00:16:00Z,453.0,2,0.0
2007-08-18T03:16:00Z,443.2,2,0.0
2007-08-18T06:16:00Z,444.5,2,0.0
2007-08-18T09:16:00Z,443.9,2,0.0
2007-08-18T12:16:00Z,439.5,2,0.0
2007-08-18T15:16:00Z,421.2,2,0.0
2007-08-18T18:16:00Z,419.9,2,0.0
2007-08-18T21:16:00Z,414.7,2,0.0
2007-08-19T00:16:00Z,411.7,2,0.0
2007-08-19T03:16:00Z,408.9,2,0.0
2007-08-19T06:16:00Z,412.0,2,0.0
2007-08-19T09:16:00Z,418.0,2,0.0
2007-08-19T12:16:00Z,420.9,2,0.0
2007-08-19T15:16:00Z,413.1,2,0.0
2007-08-19T18:16:00Z,409.8,2,0.0
2007-08-19T21:16:00Z,403.1,2,0.0
2007-08-20T00:16:00Z,396.6,2,0.0
2007-08-20T03:16:00Z,393.3,2,0.0
2007-08-20T06:16:00Z,403.8,2,0.0
2007-08-20T09:16:00Z,410.8,2,0.0
2007-08-20T12:16:00Z,412.2,2,0.0
2007-08-20T15:16:00Z,406.2,2,0.0
2007-08-20T18:16:00Z,404.3,2,0.0
2007-08-20T21:16:00Z,393.6,2,0.0
2007-08-21T00:16:00Z,381.3,2,0.0
2007-08-21T03:16:00Z,386.5,2,0.0
2007-08-21T06:16:00Z,389.7,2,0.0
2007-08-21T09:16:00Z,397.3,2,0.0
2007-08-21T12:16:00Z,393.7,2,0.0
2007-08-21T15:16:00Z,394.1,2,0.0
2007-08-21T18:16:00Z,412.0,2,0.0
2007-08-21T21:16:00Z,394.8,2,0.0
2007-08-22T00:16:00Z,375.2,2,0.0
2007-08-22T03:16:00Z,377.9,2,0.0
2007-08-22T06:16:00Z,383.3,2,0.0
2007-08-22T09:16:00Z,391.9,2,0.0
2007-08-22T12:16:00Z,394.0,2,0.0
2007-08-22T15:16:00Z,395.4,2,0.0
2007-08-22T18:17:00Z,406.0,2,0.0
2007-08-22T21:16:00Z,387.7,2,0.0
2007-08-23T00:16:00Z,379.6,2,0.0
2007-08-23T03:16:00Z,383.8,2,0.0
2007-08-23T06:16:00Z,387.2,2,0.0
2007-08-23T09:16:00Z,389.7,2,0.0
2007-08-23T12:16:00Z,404.1,2,0.0
2007-08-23T15:16:00Z,397.1,2,0.0
2007-08-23T18:16:00Z,387.6,2,0.0
2007-08-23T21:16:00Z,392.3,2,0.0
2007-08-24T00:16:00Z,379.7,2,0.0
2007-08-24T03:16:00Z,381.8,2,0.0
2007-08-24T06:16:00Z,382.7,2,0.0
2007-08-24T09:16:00Z,385.6,2,0.0
2007-08-24T12:16:00Z,388.2,2,0.0
2007-08-24T15:16:00Z,393.8,2,0.0
2007-08-24T18:16:00Z,395.2,2,0.0
2007-08-24T21:16:00Z,393.0,2,0.0
2007-08-25T00:16:00Z,386.7,2,0.0
2007-08-25T03:16:00Z,387.5,2,0.0
2007-08-25T06:16:00Z,390.5,2,0.0
2007-08-25T09:16:00Z,391.4,2,0.0
2007-08-25T12:16:00Z,394.1,2,0.0
2007-08-25T15:16:00Z,386.7,2,0.0
2007-08-25T18:16:00Z,388.3,2,0.0
2007-08-25T21:16:00Z,381.3,2,0.0
2007-08-26T00:16:00Z,383.3,2,0.0
2007-08-26T03:16:00Z,406.1,2,0.0
2007-08-26T06:16:00Z,410.4,2,0.0
2007-08-26T09:16:00Z,410.8,2,0.0
2007-08-26T12:16:00Z,413.6,2,0.0
2007-08-26T15:16:00Z,417.5,2,0.0
2007-08-26T18:16:00Z,421.0,2,0.0
2007-08-26T21:16:00Z,410.1,2,0.0
2007-08-27T00:16:00Z,395.9,2,0.0
2007-08-27T03:16:00Z,413.3,2,0.0
2007-08-27T06:16:00Z,419.2,2,0.0
2007-08-27T09:16:00Z,421.6,2,0.0
2007-08-27T12:16:00Z,419.7,2,0.0
2007-08-27T15:16:00Z,414.9,2,0.0
2007-08-27T18:16:00Z,437.6,2,0.0
2007-08-27T21:16:00Z,424.1,2,0.0
2007-08-28T00:16:00Z,402.8,2,0.0
2007-08-28T03:16:00Z,405.5,2,0.0
2007-08-28T06:16:00Z,400.5,2,0.0
2007-08-28T09:16:00Z,413.8,2,0.0
2007-08-28T12:16:00Z,420.3,2,0.0
2007-08-28T15:16:00Z,405.2,2,0.0
2007-08-28T18:16:00Z,395.0,2,0.0
2007-08-28T21:16:00Z,392.2,2,0.0
2007-08-29T00:16:00Z,406.9,2,0.0
2007-08-29T03:16:00Z,406.6,2,0.0
2007-08-29T06:16:00Z,393.5,2,0.0
2007-08-29T09:16:00Z,411.1,2,0.0
2007-08-29T12:16:00Z,428.0,2,0.0
