time,sea_water_practical_salinity,sea_water_practical_salinity_qc_agg,z
UTC,1e-3,,m
2008-11-11T00:17:00Z,35.814,2,0.0
2008-11-11T03:17:00Z,35.663,2,0.0
2008-11-11T06:17:00Z,35.656,2,0.0
2008-11-11T09:17:00Z,35.908,2,0.0
2008-11-11T12:17:00Z,35.918,2,0.0
2008-11-11T15:17:00Z,35.628,2,0.0
2008-11-11T18:17:00Z,35.742,2,0.0
2008-11-11T21:17:00Z,35.796,2,0.0
2008-11-12T00:17:00Z,35.835,2,0.0
2008-11-12T03:17:00Z,35.741,2,0.0
2008-11-12T06:17:00Z,35.721,2,0.0
2008-11-12T09:17:00Z,36.0,2,0.0
2008-11-12T12:17:00Z,36.051,2,0.0
2008-11-12T15:17:00Z,35.97,2,0.0
2008-11-12T18:17:00Z,35.804,2,0.0
2008-11-12T21:17:00Z,35.89,2,0.0
2008-11-13T00:17:00Z,35.938,2,0.0
2008-11-13T03:17:00Z,35.761,2,0.0
2008-11-13T06:17:00Z,35.509,2,0.0
2008-11-13T09:17:00Z,35.627,2,0.0
2008-11-13T12:17:00Z,35.839,2,0.0
2008-11-13T15:17:00Z,35.621,2,0.0
2008-11-13T18:17:00Z,35.49,2,0.0
2008-11-13T21:17:00Z,35.527,2,0.0
2008-11-14T00:17:00Z,35.731,2,0.0
2008-11-14T03:17:00Z,35.617,2,0.0
2008-11-14T06:17:00Z,35.477,2,0.0
2008-11-14T09:17:00Z,35.539,2,0.0
2008-11-14T12:17:00Z,35.728,2,0.0
2008-11-14T15:17:00Z,35.699,2,0.0
2008-11-14T18:17:00Z,35.612,2,0.0
2008-11-14T21:17:00Z,35.538,2,0.0
2008-11-15T00:17:00Z,35.698,2,0.0
2008-11-15T03:17:00Z,35.786,2,0.0
2008-11-15T06:17:00Z,35.576,2,0.0
2008-11-15T09:17:00Z,35.545,2,0.0
2008-11-15T12:17:00Z,35.773,2,0.0
2008-11-15T15:17:00Z,35.826,2,0.0
2008-11-15T18:17:00Z,35.607,2,0.0
2008-11-15T21:17:00Z,35.483,2,0.0
2008-11-16T00:17:00Z,35.665,2,0.0
2008-11-16T03:17:00Z,35.735,2,0.0
2008-11-16T06:17:00Z,35.606,2,0.0
2008-11-16T09:17:00Z,35.512,2,0.0
2008-11-16T12:17:00Z,35.709,2,0.0
2008-11-16T15:17:00Z,35.863,2,0.0
2008-11-16T18:17:00Z,35.735,2,0.0
2008-11-16T21:17:00Z,35.604,2,0.0
2008-11-17T00:17:00Z,35.697,2,0.0
2008-11-17T03:17:00Z,35.811,2,0.0
2008-11-17T06:17:00Z,35.725,2,0.0
2008-11-17T09:17:00Z,35.633,2,0.0
2008-11-17T12:17:00Z,35.769,2,0.0
2008-11-17T15:17:00Z,35.89,2,0.0
2008-11-17T18:17:00Z,35.793,2,0.0
2008-11-17T21:17:00Z,35.748,2,0.0
2008-11-18T00:17:00Z,35.805,2,0.0
2008-11-18T03:17:00Z,35.915,2,0.0
2008-11-18T06:17:00Z,35.866,2,0.0
2008-11-18T09:17:00Z,35.773,2,0.0
2008-11-18T12:17:00Z,35.783,2,0.0
2008-11-18T15:17:00Z,35.991,2,0.0
2008-11-18T18:17:00Z,36.011,2,0.0
2008-11-18T21:17:00Z,35.806,2,0.0
2008-11-19T00:17:00Z,35.623,2,0.0
2008-11-19T03:17:00Z,35.766,2,0.0
2008-11-19T06:17:00Z,35.958,2,0.0
2008-11-19T09:17:00Z,35.863,2,0.0
2008-11-19T12:17:00Z,35.759,2,0.0
2008-11-19T15:17:00Z,35.827,2,0.0
2008-11-19T18:17:00Z,35.941,2,0.0
2008-11-19T21:17:00Z,35.892,2,0.0
2008-11-20T00:17:00Z,35.806,2,0.0
2008-11-20T03:17:00Z,35.904,2,0.0
2008-11-20T06:17:00Z,35.976,2,0.0
2008-11-20T09:17:00Z,35.913,2,0.0
2008-11-20T12:17:00Z,35.779,2,0.0
2008-11-20T15:17:00Z,35.835,2,0.0
2008-11-20T18:17:00Z,35.949,2,0.0
2008-11-20T21:17:00Z,35.837,2,0.0
2008-11-21T00:17:00Z,35.794,2,0.0
2008-11-21T03:17:00Z,35.798,2,0.0
2008-11-21T06:17:00Z,35.885,2,0.0
2008-11-21T09:17:00Z,35.872,2,0.0
2008-11-21T12:17:00Z,35.817,2,0.0
2008-11-21T15:17:00Z,35.836,2,0.0
2008-11-21T18:17:00Z,35.996,2,0.0
2008-11-21T21:17:00Z,36.084,2,0.0
2008-11-22T00:17:00Z,36.02,2,0.0
2008-11-22T03:17:00Z,35.882,2,0.0
2008-11-22T06:17:00Z,35.988,2,0.0
2008-11-22T09:17:00Z,36.007,2,0.0
2008-11-22T12:17:00Z,36.009,2,0.0
2008-11-22T15:17:00Z,35.813,2,0.0
2008-11-22T18:17:00Z,36.012,2,0.0
2008-11-22T21:17:00Z,36.114,2,0.0
2008-11-23T00:17:00Z,36.104,2,0.0
2008-11-23T03:17:00Z,35.985,2,0.0
2008-11-23T06:17:00Z,36.106,2,0.0
2008-11-23T09:17:00Z,36.268,2,0.0
2008-11-23T12:17:00Z,36.159,2,0.0
2008-11-23T15:17:00Z,35.967,2,0.0
2008-11-23T18:17:00Z,36.009,2,0.0
2008-11-23T21:17:00Z,36.175,2,0.0
2008-11-24T00:17:00Z,36.117,2,0.0
2008-11-24T03:17:00Z,36.158,2,0.0
2008-11-24T06:17:00Z,36.211,2,0.0
2008-11-24T09:17:00Z,36.246,2,0.0
2008-11-24T12:17:00Z,36.198,2,0.0
2008-11-24T15:17:00Z,36.173,2,0.0
2008-11-24T18:17:00Z,36.138,2,0.0
2008-11-24T21:17:00Z,36.233,2,0.0
2008-11-25T00:17:00Z,36.193,2,0.0
2008-11-25T03:17:00Z,36.153,2,0.0
2008-11-25T06:17:00Z,36.086,2,0.0
2008-11-25T09:17:00Z,36.106,2,0.0
2008-11-25T12:17:00Z,36.099,2,0.0
2008-11-25T15:17:00Z,35.922,2,0.0
2008-11-25T18:17:00Z,35.865,2,0.0
2008-11-25T21:17:00Z,36.011,2,0.0
2008-11-26T00:17:00Z,36.024,2,0.0
2008-11-26T03:17:00Z,35.867,2,0.0
2008-11-26T06:17:00Z,35.823,2,0.0
2008-11-26T09:17:00Z,35.978,2,0.0
2008-11-26T12:17:00Z,36.029,2,0.0
2008-11-26T15:17:00Z,35.937,2,0.0
2008-11-26T18:17:00Z,35.833,2,0.0
2008-11-26T21:17:00Z,35.882,2,0.0
2008-11-27T00:17:00Z,35.98,2,0.0
2008-11-27T03:17:00Z,35.9,2,0.0
2008-11-27T06:17:00Z,35.846,2,0.0
2008-11-27T09:17:00Z,35.938,2,0.0
2008-11-27T12:17:00Z,35.992,2,0.0
2008-11-27T15:17:00Z,35.921,2,0.0
2008-11-27T18:17:00Z,35.874,2,0.0
2008-11-27T21:17:00Z,35.869,2,0.0
2008-11-28T00:17:00Z,35.97,2,0.0
2008-11-28T03:17:00Z,35.955,2,0.0
2008-11-28T06:17:00Z,35.857,2,0.0
2008-11-28T09:17:00Z,35.988,2,0.0
2008-11-28T12:17:00Z,36.069,2,0.0
2008-11-28T15:17:00Z,35.983,2,0.0
2008-11-28T18:17:00Z,35.949,2,0.0
